num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250105,1,1,0.6,1,1804,9,13.1,1,1341,9,11.6,1,6.9,1,12.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250107,2.4,1,3.5,1,739,9,8.3,1,1201,9,5.4,1,5.9,1,4.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250111,0,1,-4.4,1,150,9,3.3,1,1226,9,0.2,1,-0.6,1,7.7,1,,,,,606,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250106,6,1,6.2,1,1751,9,12.6,1,952,9,9.1,1,9.4,1,6.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250109,2.8,1,-0.4,1,1754,9,10.9,1,729,9,5.2,1,5.3,1,11.3,1,,,,,74,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250110,0,1,-0.8,1,1754,9,6.1,1,1356,9,1.2,1,2.7,1,6.9,1,,,,,404,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250108,14.7,1,3.8,1,1902,9,12,1,1859,9,7.1,1,7.9,1,8.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250112,0,1,-1.7,1,318,9,4.6,1,1347,9,1.2,1,1.5,1,6.3,1,,,,,458,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250113,0,1,-2.9,1,1759,9,5.2,1,1416,9,-0.8,1,1.2,1,8.1,1,,,,,979,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250114,0,1,-9,1,703,9,4.4,1,1320,9,-3.9,1,-2.3,1,13.4,1,,,,,1096,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250115,0.2,1,-6.1,1,137,9,4.8,1,1309,9,0.8,1,-0.7,1,10.9,1,,,,,560,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250116,0,1,-1.4,1,603,9,4.4,1,1513,9,1.5,1,1.5,1,5.8,1,,,,,429,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250117,0,1,-5.2,1,610,9,0.2,1,444,9,-1.9,1,-2.5,1,5.4,1,,,,,1427,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250118,0,1,-1,1,1852,9,1.7,1,1325,9,-0.1,1,0.4,1,2.7,1,,,,,426,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250119,0,1,-6.4,1,334,9,-0.3,1,1225,9,-2,1,-3.4,1,6.1,1,,,,,1440,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250120,0,1,-2.8,1,818,9,-0.6,1,1336,9,-1.7,1,-1.7,1,2.2,1,,,,,1440,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250125,10.7,1,8.2,1,1618,9,13.1,1,601,9,10.2,1,10.7,1,4.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250122,11.9,1,-1.8,1,1908,9,10.6,1,1405,9,5.9,1,4.4,1,12.4,1,,,,,158,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250121,0.2,1,-2.4,1,707,9,3.4,1,1340,9,-0.8,1,0.5,1,5.8,1,,,,,1099,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250124,0,1,6.6,1,1801,9,13.6,1,330,9,10.2,1,10.1,1,7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250123,0.2,1,4,1,854,9,8.1,1,1446,9,6.3,1,6.1,1,4.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250127,2,1,7.6,1,1134,9,13.4,1,1106,9,10.1,1,10.5,1,5.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250126,5.2,1,2.5,1,607,9,12.9,1,330,9,6.2,1,7.7,1,10.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250128,3.4,1,7,1,919,9,10.3,1,1402,9,8.3,1,8.7,1,3.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250129,8.9,1,5.2,1,732,9,8.2,1,1154,9,7.2,1,6.7,1,3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250131,2,1,-2.2,1,344,9,6.4,1,1403,9,1.4,1,2.1,1,8.6,1,,,,,499,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250130,0.2,1,0.4,1,633,9,9.4,1,1245,9,4.9,1,4.9,1,9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250201,0.2,1,-3.5,1,703,9,7.5,1,1308,9,0.5,1,2,1,11,1,,,,,829,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250202,0,1,-6,1,556,9,8.2,1,1427,9,-0.6,1,1.1,1,14.2,1,,,,,928,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250203,0,1,-5.1,1,432,9,0.9,1,1414,9,-1.9,1,-2.1,1,6,1,,,,,1259,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250204,0.2,1,-1.6,1,237,9,2,1,538,9,-0.3,1,0.2,1,3.6,1,,,,,792,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250205,0.2,1,0.7,1,1801,9,5.8,1,1326,9,3.4,1,3.3,1,5.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250206,0,1,1.2,1,536,9,4.8,1,1131,9,3.1,1,3,1,3.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250207,2.2,1,2.5,1,537,9,6.9,1,1728,9,4.6,1,4.7,1,4.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20250208,0,1,3.5,1,746,9,7.8,1,1232,9,5.9,1,5.7,1,4.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
