Année,Entrées Immigrés (B),Sorties Immigrés (B),Solde migratoire Immigrés (B),Entrées Non-immigrés (B),Sorties Non-immigrés (B),Solde migratoire Non-immigrés (B),Entrées (B),Sorties (B),Solde migratoire (B),Solde naturel (A),Solde migratoire (A),Étrangers (%),Immigrés (%),Étrangers (%) (A),Immigrés (%) (A),Solde Non-immigrés (C),Solde Immigrés (C),Solde (C),Naissances,Décès,Naissances (A),Décès (A),Femmes,Hommes,Femmes (A),Hommes (A),Étrangers (A),Immigrés (A),Population (A),Décès Immigrés (BC),Décès Non-immigrés (ABC),Décès Immigrés (Ae),Décès Non-immigrés (Ae),Solde Immigrés (ABe),Solde Non-immigrés (ABe),Solde (ABe),Solde (A),Sorties (AB),Sorties Immigrés (ABe),Sorties Non-immigrés (ABe),Solde migratoire Immigrés (ABe),Solde migratoire Non-immigrés (ABe),Solde migratoire (ABe),Solde Immigrés (ABe+),Solde Non-immigrés (ABe+),Solde (ABe+),Solde Immigrés (Apop),Variation Immigrés (A),Variation Immigrés (ABe+)
1921,,,,,,,,,,,,3.9,3.7,3.9,3.7,,,,,,,,,,,,1532.024,1429.1,38798.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.00400928133014158,
1926,,,,,,,,,,,,6,5.7,6.0,5.7,,,,,,,,,,,,2409.335,2288.2,40228.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.0018638751355558008,
1931,,,,,,,,,,,,6.6,6.6,6.6,6.6,,,,,,,,,,,,2714.697,2729.3,41228.0,,,,,,,,,,94.1875,190.3125,,,,,,,,-0.0019436223345285996,
1936,,,,,,,,,,,,5.3,5.6,5.3,5.6,,,,,,,,,,,,2198.236,2326.1,41183.0,,,,,,,,,,94.1875,190.3125,,,,,,,,-0.0006645163417114506,
1946,,,,,,,,,,,,4.4,5,4.4,5.0,,,,,,,,,,,,1743.619,1985.9,39848.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.0004702099954887592,
1954,,,,,,,,,,,,4.1,5.4,4.1,5.4,,,,,,,,,,,,1765.0,2293.0,42781.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.0009986345377674044,
1962,,,,,,,,,,,,4.6,6.2,4.6,6.2,,,,,,,,,,,,2150.64,2861.3,46459.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.0006037187058427368,
1968,,,,,,,,,,,,5.3,6.5,5.3,6.5,,,,,,,,,,,,2621.0,3238.0,49655.0,,,,,,,,,,94.1875,190.3125,,,,,,,,0.0012412563823516246,
1975,,,,,,,,,,,,6.5,7.4,6.5,7.4,,,,,,,,,,,,3442.0,3887.0,52599.0,,,,,,,,,,94.1875,190.3125,,,,,,,,6.47083515291001e-05,
1982,,,,,,,,,,272.536,60.3,6.8,7.4,6.8,7.4,,,,823.26,550.724,823.26,550.724,,,,,3714.0,4037.0,54296.0,,,40.75357600000001,509.970424,,,,332.836,,94.1875,190.3125,,,,,,,,,
1983,,,,,,,,,,207.686,53.029,,,,,,,,775.441,567.755,775.441,567.755,,,,,,,,,,,,,,,260.71500000000003,,94.1875,190.3125,,,,,,,,,
1984,,,,,,,,,,237.17,41.403,,,,,,,,787.429,550.259,787.429,550.259,,,,,,,,,,,,,,,278.573,,94.1875,190.3125,,,,,,,,,
1985,,,,,,,,,,235.745,39.442,,,,,,,,796.138,560.393,796.138,560.393,,,,,,,,,,,,,,,275.187,,94.1875,190.3125,,,,,,,,,
1986,,,,,,,,,,250.805,41.528,,,,,,,,805.543,554.738,805.543,554.738,,,,,,,,,,,,,,,292.333,,94.1875,190.3125,,,,,,,,,
1987,,,,,,,,,,260.401,52.384,,,,,,,,795.79,535.389,795.79,535.389,,,,,,,,,,,,,,,312.785,,94.1875,190.3125,,,,,,,,,
1988,,,,,,,,,,268.033,66.456,,,,,,,,800.56,532.527,800.56,532.527,,,,,,,,,,,,,,,334.48900000000003,,94.1875,190.3125,,,,,,,,,
1989,,,,,,,,,,258.574,78.285,,,,,,,,796.101,537.527,796.101,537.527,,,,,,,,,,,,,,,336.85900000000004,,94.1875,190.3125,,,,,,,,,
1990,,,,,,,,,,258.685,77.393,6.3,7.3,6.3,7.3,,,,793.071,534.386,793.071,534.386,29755,28241,29755.0,28241.0,3645.0,4222.0,58078.0,,,39.010177999999996,495.37582199999997,,,,336.078,,94.1875,190.3125,,,,,,,,,
1991,,,,,,,,,,257.191,88.397,,,,,,,,790.078,532.887,790.078,532.887,29905.363,28374.772,29905.363,28374.772,,,,,,,,,,,345.58799999999997,,94.1875,190.3125,,,,,,,,,
1992,,,,,,,,,,244.941,89.349,,,,,,,,774.755,529.814,774.755,529.814,30060.174,28511.063,30060.174,28511.063,,,,,,,,,,,334.29,,94.1875,190.3125,,,,,,,,,
1993,,,,,,,,,,200.773,70.34,,,,,,,,741.306,540.533,741.306,540.533,30210.659,28641.343,30210.659,28641.343,,,,,,,,,,,271.113,,94.1875,190.3125,,,,,,,,,
1994,,,,,,,,,,212.653,51.301,,,,,,,,740.774,528.121,740.774,528.121,30334.799,28735.278,30334.799,28735.278,,,,,,,,,,,263.954,,94.1875,190.3125,,,,,,,,,
1995,,,,,,,,,,218.745,42.193,,,,,,,,759.058,540.313,759.058,540.313,30456.254,28824.323,30456.254,28824.323,,,,,,,,,,,260.938,,94.1875,190.3125,,,,,,,,,
1996,,,,,,,,,,219.425,38.241,,,,,,,,764.028,544.604,764.028,544.604,30575.122,28912.291,30575.122,28912.291,,,,,,,,,,,257.666,,94.1875,190.3125,,,,,,,,,
1997,,,,,,,,,,218.117,43.279,,,,,,,,757.384,539.267,757.384,539.267,30687.915,29003.262,30687.915,29003.262,,,,,,,,,,,261.396,,94.1875,190.3125,,,,,,,,,
1998,,,,,,,,,,224.497,50.228,,,,,,,,767.906,543.409,767.906,543.409,30804.16,29095.187,30804.16,29095.187,,,,,,,,,,,274.725,,94.1875,190.3125,,,,,,,,,
1999,,,,,,,,,,228.53,62.5,5.5,7.3,5.5,7.3,,,,775.796,547.266,775.796,547.266,30926.26,29196.405,30926.26,29196.405,3322.0,4374.0,60144.0,,,39.95041799999999,507.315582,,,,291.03,,94.1875,190.3125,,,,,,,,,
2000,,,,,,,,,,266.804,72,,,,,,,,807.405,540.601,807.405,540.601,31142.35,29365.8,31142.35,29365.8,,,,,,,,,,,338.804,,94.1875,190.3125,,,,,,,,,
2001,,,,,,,,,,262.205,87,,,,,,,,803.234,541.029,803.234,541.029,31381.393,29560.017,31381.393,29560.017,,,,,,,,,,,349.205,,94.1875,190.3125,,,,,,,,,
2002,,,,,,,,,,247.504,97,,,,,,,,792.745,545.241,792.745,545.241,31625.737,29759.333,31625.737,29759.333,,,,,,,,,,,344.504,,94.1875,190.3125,,,,,,,,,
2003,,,,,,,,,,230.577,102,,,,,,,,793.044,562.467,793.044,562.467,31866.686,29957.344,31866.686,29957.344,,,,,,,,,,,332.577,,94.1875,190.3125,,,,,,,,,
2004,,,,,,,,,,279.891,105.128,,,,,,,,799.361,519.47,799.361,519.47,32099.129,30151.933,32099.129,30151.933,,,,,,,,,,,385.019,,94.1875,190.3125,,,,,,,,,
2005,,,,,,,,,,268.741,92.192,,,,,,,,806.822,538.081,806.822,538.081,32364.945,30365.592,32364.945,30365.592,,,,,,,,,,,360.933,,94.1875,190.3125,,,,,,,,,
2006,234.0,71.0,163.0,92.0,143.0,-51.0,326.0,214.0,112.0,302.432,112.141,5.8,8.1,5.8,8.1,299.0,115.0,414.0,829.352,526.92,829.352,526.92,32616.073,30570.044,32616.073,30570.044,3648.2,5136.3,63186.1,48.0,478.91999999999996,42.68052,484.23947999999996,120.31948,294.11252,414.432,414.57300000000004,213.85899999999998,94.1875,190.3125,139.8125,-98.3125,41.5,97.13198,246.80002000000002,343.932,115.30000000000018,0.0012829703051472768,0.0010888438010731305
2007,230.0,91.0,139.0,81.0,146.0,-65.0,311.0,237.0,74.0,287.543,73.626,5.8,8.3,5.8,8.3,272.0,90.0,362.0,818.705,531.162,818.705,531.162,32818.936,30781.754,32818.936,30781.754,3682.2,5251.6,63600.7,49.0,482.16200000000003,44.086446,487.07555400000007,94.913554,266.62944600000003,361.543,361.169,237.374,94.1875,190.3125,135.8125,-109.3125,26.5,91.726054,222.316946,314.043,90.69999999999982,0.0009517416420092989,0.0010294194267813361
2008,235.0,95.0,140.0,77.0,161.0,-84.0,312.0,255.0,56.0,285.829,56.812,5.8,8.4,5.8,8.4,250.0,91.0,341.0,828.404,542.575,828.404,542.575,33003.572,30958.287,33003.572,30958.287,3714.5,5342.3,63961.9,49.0,493.57500000000005,45.5763,496.9987,94.4237,247.4053,341.829,342.641,255.188,94.1875,190.3125,140.8125,-113.3125,27.5,95.2362,218.0928,313.329,90.5,0.0009623737907102775,0.0010745348233237723
2009,238.0,106.0,132.0,81.0,180.0,-99.0,319.0,286.0,33.0,276.1,32.339,5.9,8.4,5.9,8.4,228.0,81.0,309.0,824.641,548.541,824.641,548.541,33178.655,31125.845,33178.655,31125.845,3771.1,5432.8,64304.5,51.0,497.54100000000005,46.07744400000001,502.463556,85.92255599999999,223.17744400000004,309.1,308.439,286.661,94.1875,190.3125,143.8125,-109.3125,34.5,97.73505599999999,212.86494400000004,310.6,81.39999999999964,0.0008565574585819302,0.0011064573024189561
2010,251.0,109.0,142.0,113.0,216.0,-103.0,364.0,325.0,39.0,281.581,38.88,5.9,8.5,5.9,8.5,229.0,91.0,320.0,832.799,551.218,832.799,551.218,33333.407,31279.532,33333.407,31279.532,3817.6,5514.2,64612.9,51.0,500.21799999999996,46.85353,504.36447,95.14647,225.43453000000002,320.581,320.461,325.12,94.1875,190.3125,156.8125,-77.3125,79.5,109.95897,251.12203000000002,361.081,91.0,0.0009802021731913635,0.0012180808559743433
2011,255.0,96.0,159.0,116.0,249.0,-133.0,371.0,345.0,26.0,278.337,29.504,6,8.6,6.0,8.6,199.0,109.0,308.0,823.394,545.057,823.394,545.057,33492.443,31440.957,33492.443,31440.957,3889.0,5605.2,64933.4,50.0,495.057,46.874902,498.18209800000005,112.12509800000001,192.21190199999998,304.337,307.841,341.496,94.1875,190.3125,160.8125,-74.3125,86.5,113.93759800000001,250.89940199999998,364.837,108.80000000000018,0.0012603998412222955,0.001262576683012051
2012,278.0,104.0,174.0,114.0,216.0,-102.0,392.0,320.0,72.0,251.179,72.336,6.1,8.8,6.1,8.8,203.0,122.0,325.0,821.047,569.868,821.047,569.868,33653.167,31588.074,33653.167,31588.074,3980.6,5714.0,65241.2,52.0,517.868,50.14838400000001,519.7196160000001,123.85161599999999,199.327384,323.179,323.515,319.664,94.1875,190.3125,183.8125,-76.3125,107.5,133.66411599999998,225.014884,358.679,121.30000000000018,0.001417807123614126,0.0015586925580382133
2013,277.0,92.0,185.0,116.0,201.0,-85.0,393.0,293.0,100.0,242.274,100.13,6.2,8.9,6.2,8.9,210.0,132.0,342.0,811.51,569.236,811.51,569.236,33809.331,31755.425,33809.331,31755.425,4083.9,5835.3,65564.8,53.0,516.236,50.662004,518.573996,134.337996,207.936004,342.274,342.404,292.87,94.1875,190.3125,182.8125,-74.3125,108.5,132.150496,218.623504,350.774,192.19999999999982,0.0021444864170612893,0.0015312228718335763
2014,259.0,65.0,194.0,118.0,280.0,-162.0,378.0,345.0,32.0,259.272,32.324,6.5,9.1,6.5,9.1,150.0,141.0,291.0,818.565,559.293,818.565,559.293,34102.746,32028.127,34102.746,32028.127,4289.0,6027.5,66130.9,53.0,506.293,50.895663,508.39733700000005,143.104337,148.167663,291.272,291.596,344.676,94.1875,190.3125,164.8125,-72.3125,92.5,113.916837,237.855163,351.772,141.60000000000036,0.0017316740845723655,0.0012312168010285285
2015,278.0,94.0,184.0,122.0,266.0,-144.0,400.0,360.0,40.0,205.268,40.238,6.7,9.3,6.7,9.3,117.0,129.0,246.0,798.948,593.68,798.948,593.68,34265.486,32156.983,34265.486,32156.983,4427.9,6169.1,66422.5,55.0,538.68,55.21224,538.46776,128.78776,116.48024000000001,245.268,245.506,359.762,94.1875,190.3125,183.8125,-68.3125,115.5,128.60026,192.16774,320.76800000000003,122.29999999999927,0.0015851169983650687,0.0014804249512940654
2016,287.0,66.0,221.0,130.0,287.0,-157.0,417.0,352.0,64.0,189.775,65.044,6.8,9.4,6.8,9.4,89.0,165.0,254.0,783.64,593.865,783.64,593.865,34372.558,32230.087,34372.558,32230.087,4541.5,6291.4,66602.6,56.0,537.865,55.82331,538.0416899999999,165.17669,88.59831,253.775,254.81900000000002,351.956,94.1875,190.3125,192.8125,-60.3125,132.5,136.98919,185.28581,322.275,157.40000000000055,0.002114010893404031,0.001592031670879901
2017,291.0,93.0,198.0,119.0,163.0,-44.0,411.0,256.0,154.0,163.279,154.661,7,9.7,7.0,9.7,178.0,139.0,317.0,769.553,606.274,769.553,606.274,34477.222,32297.26,34477.222,32297.26,4703.8,6448.8,66774.5,59.0,547.274,58.80857799999999,547.465422,139.19142200000002,178.08757799999998,317.279,317.94,255.339,94.1875,190.3125,196.8125,-71.3125,125.5,138.00392200000002,150.77507799999998,288.779,130.09999999999945,0.0016281813525801103,0.0016419546429577714
2018,305.0,83.0,222.0,126.0,147.0,-21.0,431.0,231.0,201.0,148.942,200.506,7.2,9.8,7.2,9.8,,,,758.59,609.648,758.59,609.648,34594.401,32397.758,34594.401,32397.758,4849.9,6578.9,66992.2,,,59.745504000000004,549.902496,162.254496,187.68750400000002,349.942,349.448,230.494,94.1875,190.3125,210.8125,-64.3125,146.5,151.066996,144.37500400000002,295.442,154.60000000000036,0.0019105145078677221,0.001813905422499415
